abnormal pos: x = 0, y = 0, cpnt = 0, average =  85.00
abnormal pos: x = 385, y = 23, cpnt = 1, average =  30.10
abnormal pos: x = 505, y = 23, cpnt = 1, average =  30.70
abnormal pos: x = 506, y = 23, cpnt = 1, average =  30.90
abnormal pos: x = 507, y = 23, cpnt = 0, average =  30.10
abnormal pos: x = 507, y = 23, cpnt = 1, average =  33.10
abnormal pos: x = 528, y = 23, cpnt = 2, average =  30.40
abnormal pos: x = 530, y = 23, cpnt = 2, average =  31.10
abnormal pos: x = 533, y = 23, cpnt = 1, average =  31.10
abnormal pos: x = 554, y = 23, cpnt = 0, average =  30.20
abnormal pos: x = 555, y = 23, cpnt = 0, average =  31.60
abnormal pos: x = 1, y = 24, cpnt = 2, average =  32.00
abnormal pos: x = 28, y = 24, cpnt = 2, average =  30.70
abnormal pos: x = 50, y = 24, cpnt = 2, average =  33.30
abnormal pos: x = 51, y = 24, cpnt = 2, average =  36.30
abnormal pos: x = 52, y = 24, cpnt = 2, average =  33.00
abnormal pos: x = 53, y = 24, cpnt = 2, average =  30.40
abnormal pos: x = 54, y = 24, cpnt = 2, average =  31.50
abnormal pos: x = 55, y = 24, cpnt = 2, average =  30.80
abnormal pos: x = 56, y = 24, cpnt = 2, average =  32.20
abnormal pos: x = 57, y = 24, cpnt = 2, average =  30.50
abnormal pos: x = 58, y = 24, cpnt = 2, average =  30.50
abnormal pos: x = 71, y = 24, cpnt = 1, average =  33.50
abnormal pos: x = 72, y = 24, cpnt = 1, average =  32.70
abnormal pos: x = 73, y = 24, cpnt = 1, average =  33.60
abnormal pos: x = 74, y = 24, cpnt = 1, average =  30.40
abnormal pos: x = 75, y = 24, cpnt = 1, average =  30.40
abnormal pos: x = 85, y = 24, cpnt = 1, average =  32.90
abnormal pos: x = 86, y = 24, cpnt = 1, average =  32.50
abnormal pos: x = 87, y = 24, cpnt = 1, average =  32.70
abnormal pos: x = 88, y = 24, cpnt = 1, average =  32.20
abnormal pos: x = 280, y = 24, cpnt = 0, average =  30.10
abnormal pos: x = 307, y = 24, cpnt = 0, average =  30.60
abnormal pos: x = 307, y = 24, cpnt = 2, average =  31.40
abnormal pos: x = 312, y = 24, cpnt = 0, average =  30.20
abnormal pos: x = 312, y = 24, cpnt = 2, average =  30.80
abnormal pos: x = 329, y = 24, cpnt = 1, average =  31.80
abnormal pos: x = 330, y = 24, cpnt = 1, average =  30.30
abnormal pos: x = 331, y = 24, cpnt = 1, average =  31.30
abnormal pos: x = 331, y = 24, cpnt = 2, average =  31.60
abnormal pos: x = 332, y = 24, cpnt = 0, average =  30.20
abnormal pos: x = 332, y = 24, cpnt = 1, average =  30.50
abnormal pos: x = 332, y = 24, cpnt = 2, average =  34.00
abnormal pos: x = 333, y = 24, cpnt = 1, average =  32.20
abnormal pos: x = 333, y = 24, cpnt = 2, average =  31.60
abnormal pos: x = 334, y = 24, cpnt = 1, average =  30.70
abnormal pos: x = 347, y = 24, cpnt = 2, average =  30.60
abnormal pos: x = 348, y = 24, cpnt = 1, average =  31.20
abnormal pos: x = 348, y = 24, cpnt = 2, average =  38.20
abnormal pos: x = 349, y = 24, cpnt = 2, average =  38.80
abnormal pos: x = 350, y = 24, cpnt = 2, average =  41.00
abnormal pos: x = 351, y = 24, cpnt = 0, average =  31.30
abnormal pos: x = 351, y = 24, cpnt = 1, average =  34.60
abnormal pos: x = 351, y = 24, cpnt = 2, average =  46.00
abnormal pos: x = 352, y = 24, cpnt = 1, average =  34.20
abnormal pos: x = 352, y = 24, cpnt = 2, average =  44.50
abnormal pos: x = 353, y = 24, cpnt = 1, average =  35.70
abnormal pos: x = 353, y = 24, cpnt = 2, average =  45.50
abnormal pos: x = 354, y = 24, cpnt = 1, average =  33.80
abnormal pos: x = 354, y = 24, cpnt = 2, average =  41.40
abnormal pos: x = 355, y = 24, cpnt = 1, average =  31.60
abnormal pos: x = 355, y = 24, cpnt = 2, average =  38.00
abnormal pos: x = 356, y = 24, cpnt = 1, average =  33.00
abnormal pos: x = 356, y = 24, cpnt = 2, average =  40.50
abnormal pos: x = 357, y = 24, cpnt = 2, average =  31.20
abnormal pos: x = 358, y = 24, cpnt = 1, average =  31.10
abnormal pos: x = 358, y = 24, cpnt = 2, average =  34.30
abnormal pos: x = 359, y = 24, cpnt = 2, average =  30.30
abnormal pos: x = 364, y = 24, cpnt = 1, average =  30.50
abnormal pos: x = 366, y = 24, cpnt = 1, average =  32.40
abnormal pos: x = 367, y = 24, cpnt = 1, average =  30.50
abnormal pos: x = 368, y = 24, cpnt = 1, average =  30.60
abnormal pos: x = 369, y = 24, cpnt = 1, average =  30.60
abnormal pos: x = 393, y = 24, cpnt = 2, average =  31.00
abnormal pos: x = 394, y = 24, cpnt = 2, average =  30.30
abnormal pos: x = 535, y = 24, cpnt = 0, average =  30.40
abnormal pos: x = 535, y = 24, cpnt = 1, average =  31.30
abnormal pos: x = 536, y = 24, cpnt = 0, average =  33.00
abnormal pos: x = 536, y = 24, cpnt = 1, average =  36.20
abnormal pos: x = 537, y = 24, cpnt = 0, average =  32.50
abnormal pos: x = 537, y = 24, cpnt = 1, average =  38.90
abnormal pos: x = 538, y = 24, cpnt = 0, average =  30.50
abnormal pos: x = 538, y = 24, cpnt = 1, average =  38.70
abnormal pos: x = 538, y = 24, cpnt = 2, average =  31.50
abnormal pos: x = 539, y = 24, cpnt = 1, average =  39.10
abnormal pos: x = 540, y = 24, cpnt = 1, average =  40.70
abnormal pos: x = 540, y = 24, cpnt = 2, average =  33.20
abnormal pos: x = 541, y = 24, cpnt = 1, average =  39.10
abnormal pos: x = 541, y = 24, cpnt = 2, average =  34.10
abnormal pos: x = 542, y = 24, cpnt = 1, average =  37.20
abnormal pos: x = 542, y = 24, cpnt = 2, average =  33.00
abnormal pos: x = 543, y = 24, cpnt = 1, average =  34.00
abnormal pos: x = 543, y = 24, cpnt = 2, average =  33.70
abnormal pos: x = 544, y = 24, cpnt = 1, average =  30.90
abnormal pos: x = 107, y = 25, cpnt = 0, average =  30.20
abnormal pos: x = 117, y = 25, cpnt = 0, average =  31.30
abnormal pos: x = 117, y = 25, cpnt = 2, average =  31.60
abnormal pos: x = 118, y = 25, cpnt = 0, average =  32.50
abnormal pos: x = 118, y = 25, cpnt = 2, average =  34.00
abnormal pos: x = 119, y = 25, cpnt = 0, average =  37.40
abnormal pos: x = 119, y = 25, cpnt = 1, average =  32.50
abnormal pos: x = 119, y = 25, cpnt = 2, average =  34.60
abnormal pos: x = 120, y = 25, cpnt = 0, average =  35.70
abnormal pos: x = 120, y = 25, cpnt = 1, average =  32.00
abnormal pos: x = 120, y = 25, cpnt = 2, average =  34.70
abnormal pos: x = 121, y = 25, cpnt = 0, average =  33.00
abnormal pos: x = 121, y = 25, cpnt = 1, average =  33.00
abnormal pos: x = 121, y = 25, cpnt = 2, average =  35.00
abnormal pos: x = 122, y = 25, cpnt = 2, average =  32.40
abnormal pos: x = 123, y = 25, cpnt = 1, average =  30.60
abnormal pos: x = 123, y = 25, cpnt = 2, average =  32.00
abnormal pos: x = 200, y = 25, cpnt = 1, average =  32.30
abnormal pos: x = 201, y = 25, cpnt = 1, average =  30.60
abnormal pos: x = 208, y = 25, cpnt = 1, average =  31.60
abnormal pos: x = 226, y = 25, cpnt = 2, average =  30.10
abnormal pos: x = 263, y = 25, cpnt = 1, average =  30.50
abnormal pos: x = 264, y = 25, cpnt = 1, average =  30.60
abnormal pos: x = 291, y = 25, cpnt = 0, average =  30.80
abnormal pos: x = 293, y = 25, cpnt = 0, average =  31.50
abnormal pos: x = 306, y = 25, cpnt = 1, average =  31.60
abnormal pos: x = 307, y = 25, cpnt = 1, average =  32.10
abnormal pos: x = 308, y = 25, cpnt = 1, average =  36.90
abnormal pos: x = 309, y = 25, cpnt = 1, average =  39.10
abnormal pos: x = 310, y = 25, cpnt = 1, average =  39.30
abnormal pos: x = 311, y = 25, cpnt = 1, average =  39.30
abnormal pos: x = 312, y = 25, cpnt = 1, average =  40.90
abnormal pos: x = 313, y = 25, cpnt = 1, average =  37.10
abnormal pos: x = 314, y = 25, cpnt = 1, average =  32.50
abnormal pos: x = 333, y = 25, cpnt = 2, average =  30.80
abnormal pos: x = 334, y = 25, cpnt = 2, average =  32.60
abnormal pos: x = 335, y = 25, cpnt = 0, average =  31.70
abnormal pos: x = 335, y = 25, cpnt = 2, average =  34.70
abnormal pos: x = 336, y = 25, cpnt = 2, average =  32.60
abnormal pos: x = 371, y = 25, cpnt = 1, average =  30.50
abnormal pos: x = 496, y = 25, cpnt = 0, average =  30.90
abnormal pos: x = 496, y = 25, cpnt = 1, average =  33.20
abnormal pos: x = 497, y = 25, cpnt = 1, average =  30.40
abnormal pos: x = 498, y = 25, cpnt = 0, average =  32.30
abnormal pos: x = 498, y = 25, cpnt = 1, average =  34.90
abnormal pos: x = 498, y = 25, cpnt = 2, average =  33.40
abnormal pos: x = 500, y = 25, cpnt = 0, average =  32.40
abnormal pos: x = 500, y = 25, cpnt = 1, average =  32.30
abnormal pos: x = 525, y = 25, cpnt = 2, average =  30.40
abnormal pos: x = 532, y = 25, cpnt = 2, average =  31.40
abnormal pos: x = 533, y = 25, cpnt = 2, average =  30.40
abnormal pos: x = 2, y = 26, cpnt = 1, average =  30.67
abnormal pos: x = 2, y = 26, cpnt = 2, average =  38.33
abnormal pos: x = 4, y = 26, cpnt = 1, average =  30.60
abnormal pos: x = 5, y = 26, cpnt = 1, average =  31.00
abnormal pos: x = 101, y = 26, cpnt = 1, average =  34.90
abnormal pos: x = 102, y = 26, cpnt = 1, average =  39.50
abnormal pos: x = 103, y = 26, cpnt = 1, average =  40.20
abnormal pos: x = 104, y = 26, cpnt = 1, average =  37.00
abnormal pos: x = 105, y = 26, cpnt = 1, average =  33.40
abnormal pos: x = 107, y = 26, cpnt = 2, average =  32.00
abnormal pos: x = 108, y = 26, cpnt = 2, average =  30.30
abnormal pos: x = 109, y = 26, cpnt = 0, average =  31.50
abnormal pos: x = 109, y = 26, cpnt = 2, average =  32.80
abnormal pos: x = 110, y = 26, cpnt = 2, average =  32.90
abnormal pos: x = 111, y = 26, cpnt = 2, average =  32.80
abnormal pos: x = 112, y = 26, cpnt = 2, average =  35.20
abnormal pos: x = 113, y = 26, cpnt = 2, average =  30.70
abnormal pos: x = 152, y = 26, cpnt = 0, average =  30.50
abnormal pos: x = 153, y = 26, cpnt = 0, average =  31.90
abnormal pos: x = 157, y = 26, cpnt = 0, average =  30.50
abnormal pos: x = 158, y = 26, cpnt = 0, average =  32.20
abnormal pos: x = 159, y = 26, cpnt = 0, average =  31.40
abnormal pos: x = 159, y = 26, cpnt = 1, average =  30.30
abnormal pos: x = 188, y = 26, cpnt = 1, average =  31.40
abnormal pos: x = 189, y = 26, cpnt = 0, average =  31.70
abnormal pos: x = 189, y = 26, cpnt = 1, average =  36.30
abnormal pos: x = 189, y = 26, cpnt = 2, average =  31.50
abnormal pos: x = 190, y = 26, cpnt = 1, average =  32.10
abnormal pos: x = 191, y = 26, cpnt = 0, average =  32.40
abnormal pos: x = 191, y = 26, cpnt = 1, average =  35.40
abnormal pos: x = 192, y = 26, cpnt = 0, average =  32.80
abnormal pos: x = 192, y = 26, cpnt = 1, average =  36.10
abnormal pos: x = 193, y = 26, cpnt = 1, average =  31.50
abnormal pos: x = 194, y = 26, cpnt = 1, average =  30.70
abnormal pos: x = 195, y = 26, cpnt = 0, average =  32.20
abnormal pos: x = 195, y = 26, cpnt = 1, average =  30.10
abnormal pos: x = 196, y = 26, cpnt = 0, average =  31.30
abnormal pos: x = 197, y = 26, cpnt = 0, average =  31.70
abnormal pos: x = 198, y = 26, cpnt = 0, average =  31.60
abnormal pos: x = 199, y = 26, cpnt = 0, average =  30.60
abnormal pos: x = 200, y = 26, cpnt = 0, average =  31.70
abnormal pos: x = 211, y = 26, cpnt = 1, average =  32.10
abnormal pos: x = 212, y = 26, cpnt = 1, average =  31.80
abnormal pos: x = 268, y = 26, cpnt = 0, average =  31.30
abnormal pos: x = 280, y = 26, cpnt = 1, average =  31.20
abnormal pos: x = 296, y = 26, cpnt = 1, average =  31.10
abnormal pos: x = 296, y = 26, cpnt = 2, average =  30.30
abnormal pos: x = 297, y = 26, cpnt = 1, average =  31.90
abnormal pos: x = 330, y = 26, cpnt = 2, average =  30.60
abnormal pos: x = 331, y = 26, cpnt = 0, average =  36.00
abnormal pos: x = 331, y = 26, cpnt = 2, average =  34.30
abnormal pos: x = 332, y = 26, cpnt = 0, average =  30.10
abnormal pos: x = 332, y = 26, cpnt = 2, average =  31.80
abnormal pos: x = 333, y = 26, cpnt = 2, average =  34.40
abnormal pos: x = 334, y = 26, cpnt = 2, average =  35.10
abnormal pos: x = 335, y = 26, cpnt = 2, average =  33.50
abnormal pos: x = 336, y = 26, cpnt = 2, average =  34.70
abnormal pos: x = 337, y = 26, cpnt = 2, average =  31.70
abnormal pos: x = 366, y = 26, cpnt = 1, average =  30.60
abnormal pos: x = 367, y = 26, cpnt = 1, average =  30.40
abnormal pos: x = 371, y = 26, cpnt = 1, average =  31.90
abnormal pos: x = 372, y = 26, cpnt = 1, average =  33.80
abnormal pos: x = 407, y = 26, cpnt = 2, average =  30.30
abnormal pos: x = 408, y = 26, cpnt = 2, average =  33.20
abnormal pos: x = 409, y = 26, cpnt = 2, average =  35.90
abnormal pos: x = 410, y = 26, cpnt = 0, average =  30.30
abnormal pos: x = 410, y = 26, cpnt = 2, average =  30.70
abnormal pos: x = 411, y = 26, cpnt = 0, average =  32.40
abnormal pos: x = 413, y = 26, cpnt = 0, average =  30.20
abnormal pos: x = 458, y = 26, cpnt = 2, average =  32.40
abnormal pos: x = 459, y = 26, cpnt = 2, average =  31.70
abnormal pos: x = 461, y = 26, cpnt = 0, average =  31.80
abnormal pos: x = 461, y = 26, cpnt = 2, average =  32.60
abnormal pos: x = 462, y = 26, cpnt = 0, average =  36.20
abnormal pos: x = 462, y = 26, cpnt = 2, average =  33.20
abnormal pos: x = 463, y = 26, cpnt = 0, average =  35.80
abnormal pos: x = 463, y = 26, cpnt = 2, average =  30.20
abnormal pos: x = 464, y = 26, cpnt = 0, average =  37.00
abnormal pos: x = 464, y = 26, cpnt = 2, average =  32.10
abnormal pos: x = 465, y = 26, cpnt = 0, average =  38.30
abnormal pos: x = 465, y = 26, cpnt = 1, average =  30.50
abnormal pos: x = 465, y = 26, cpnt = 2, average =  34.50
abnormal pos: x = 466, y = 26, cpnt = 0, average =  36.60
abnormal pos: x = 466, y = 26, cpnt = 1, average =  30.70
abnormal pos: x = 466, y = 26, cpnt = 2, average =  33.50
abnormal pos: x = 467, y = 26, cpnt = 0, average =  35.30
abnormal pos: x = 468, y = 26, cpnt = 0, average =  30.80
abnormal pos: x = 532, y = 26, cpnt = 0, average =  30.40
abnormal pos: x = 532, y = 26, cpnt = 2, average =  31.90
abnormal pos: x = 533, y = 26, cpnt = 2, average =  31.80
abnormal pos: x = 534, y = 26, cpnt = 0, average =  31.80
abnormal pos: x = 534, y = 26, cpnt = 2, average =  30.20
abnormal pos: x = 535, y = 26, cpnt = 0, average =  34.30
abnormal pos: x = 535, y = 26, cpnt = 2, average =  34.70
abnormal pos: x = 536, y = 26, cpnt = 0, average =  33.40
abnormal pos: x = 536, y = 26, cpnt = 2, average =  30.90
abnormal pos: x = 539, y = 26, cpnt = 0, average =  30.20
abnormal pos: x = 29, y = 27, cpnt = 2, average =  30.20
abnormal pos: x = 31, y = 27, cpnt = 2, average =  33.60
abnormal pos: x = 32, y = 27, cpnt = 2, average =  32.00
abnormal pos: x = 33, y = 27, cpnt = 2, average =  30.10
abnormal pos: x = 34, y = 27, cpnt = 2, average =  30.70
abnormal pos: x = 35, y = 27, cpnt = 2, average =  30.40
abnormal pos: x = 58, y = 27, cpnt = 1, average =  33.60
abnormal pos: x = 59, y = 27, cpnt = 1, average =  32.70
abnormal pos: x = 61, y = 27, cpnt = 1, average =  31.20
abnormal pos: x = 79, y = 27, cpnt = 0, average =  32.00
abnormal pos: x = 80, y = 27, cpnt = 0, average =  31.20
abnormal pos: x = 92, y = 27, cpnt = 0, average =  33.30
abnormal pos: x = 92, y = 27, cpnt = 1, average =  30.20
abnormal pos: x = 92, y = 27, cpnt = 2, average =  33.00
abnormal pos: x = 93, y = 27, cpnt = 0, average =  35.90
abnormal pos: x = 93, y = 27, cpnt = 1, average =  32.00
abnormal pos: x = 93, y = 27, cpnt = 2, average =  36.40
abnormal pos: x = 94, y = 27, cpnt = 0, average =  32.40
abnormal pos: x = 95, y = 27, cpnt = 0, average =  32.10
abnormal pos: x = 96, y = 27, cpnt = 0, average =  32.50
abnormal pos: x = 97, y = 27, cpnt = 0, average =  35.70
abnormal pos: x = 97, y = 27, cpnt = 1, average =  30.40
abnormal pos: x = 97, y = 27, cpnt = 2, average =  31.00
abnormal pos: x = 98, y = 27, cpnt = 0, average =  34.70
abnormal pos: x = 99, y = 27, cpnt = 0, average =  33.30
abnormal pos: x = 100, y = 27, cpnt = 0, average =  36.10
abnormal pos: x = 101, y = 27, cpnt = 0, average =  37.20
abnormal pos: x = 101, y = 27, cpnt = 2, average =  30.80
abnormal pos: x = 102, y = 27, cpnt = 0, average =  35.40
abnormal pos: x = 103, y = 27, cpnt = 0, average =  34.50
abnormal pos: x = 104, y = 27, cpnt = 0, average =  33.20
abnormal pos: x = 104, y = 27, cpnt = 1, average =  30.30
abnormal pos: x = 105, y = 27, cpnt = 0, average =  36.10
abnormal pos: x = 105, y = 27, cpnt = 1, average =  30.80
abnormal pos: x = 105, y = 27, cpnt = 2, average =  30.30
abnormal pos: x = 106, y = 27, cpnt = 0, average =  32.90
abnormal pos: x = 107, y = 27, cpnt = 0, average =  33.90
abnormal pos: x = 108, y = 27, cpnt = 0, average =  33.90
abnormal pos: x = 219, y = 27, cpnt = 2, average =  34.00
abnormal pos: x = 221, y = 27, cpnt = 0, average =  31.50
abnormal pos: x = 222, y = 27, cpnt = 0, average =  32.10
abnormal pos: x = 222, y = 27, cpnt = 2, average =  30.50
abnormal pos: x = 223, y = 27, cpnt = 0, average =  34.00
abnormal pos: x = 223, y = 27, cpnt = 2, average =  34.80
abnormal pos: x = 224, y = 27, cpnt = 0, average =  32.60
abnormal pos: x = 224, y = 27, cpnt = 2, average =  30.70
abnormal pos: x = 226, y = 27, cpnt = 2, average =  30.70
abnormal pos: x = 227, y = 27, cpnt = 0, average =  30.40
abnormal pos: x = 227, y = 27, cpnt = 2, average =  30.20
abnormal pos: x = 241, y = 27, cpnt = 0, average =  31.50
abnormal pos: x = 241, y = 27, cpnt = 1, average =  30.10
abnormal pos: x = 241, y = 27, cpnt = 2, average =  33.60
abnormal pos: x = 242, y = 27, cpnt = 0, average =  32.90
abnormal pos: x = 242, y = 27, cpnt = 1, average =  33.20
abnormal pos: x = 242, y = 27, cpnt = 2, average =  34.20
abnormal pos: x = 243, y = 27, cpnt = 2, average =  31.10
abnormal pos: x = 244, y = 27, cpnt = 0, average =  31.20
abnormal pos: x = 246, y = 27, cpnt = 0, average =  31.10
abnormal pos: x = 247, y = 27, cpnt = 0, average =  30.90
abnormal pos: x = 248, y = 27, cpnt = 0, average =  31.60
abnormal pos: x = 257, y = 27, cpnt = 1, average =  30.20
abnormal pos: x = 257, y = 27, cpnt = 2, average =  30.20
abnormal pos: x = 258, y = 27, cpnt = 2, average =  30.50
abnormal pos: x = 260, y = 27, cpnt = 2, average =  30.90
abnormal pos: x = 261, y = 27, cpnt = 0, average =  32.30
abnormal pos: x = 262, y = 27, cpnt = 0, average =  33.70
abnormal pos: x = 263, y = 27, cpnt = 0, average =  31.80
abnormal pos: x = 264, y = 27, cpnt = 0, average =  34.80
abnormal pos: x = 264, y = 27, cpnt = 1, average =  30.30
abnormal pos: x = 264, y = 27, cpnt = 2, average =  30.20
abnormal pos: x = 265, y = 27, cpnt = 0, average =  33.90
abnormal pos: x = 265, y = 27, cpnt = 1, average =  31.00
abnormal pos: x = 265, y = 27, cpnt = 2, average =  32.30
abnormal pos: x = 267, y = 27, cpnt = 1, average =  31.90
abnormal pos: x = 480, y = 27, cpnt = 1, average =  34.20
abnormal pos: x = 481, y = 27, cpnt = 1, average =  35.00
abnormal pos: x = 482, y = 27, cpnt = 1, average =  33.40
abnormal pos: x = 483, y = 27, cpnt = 1, average =  36.00
abnormal pos: x = 483, y = 27, cpnt = 2, average =  30.60
abnormal pos: x = 484, y = 27, cpnt = 1, average =  34.40
abnormal pos: x = 484, y = 27, cpnt = 2, average =  30.20
abnormal pos: x = 485, y = 27, cpnt = 1, average =  30.60
abnormal pos: x = 526, y = 27, cpnt = 0, average =  31.10
abnormal pos: x = 527, y = 27, cpnt = 0, average =  32.40
abnormal pos: x = 528, y = 27, cpnt = 0, average =  33.00
abnormal pos: x = 529, y = 27, cpnt = 0, average =  30.30
abnormal pos: x = 534, y = 27, cpnt = 0, average =  30.30
abnormal pos: x = 1, y = 28, cpnt = 1, average =  36.00
abnormal pos: x = 2, y = 28, cpnt = 1, average =  34.00
abnormal pos: x = 3, y = 28, cpnt = 1, average =  31.50
abnormal pos: x = 3, y = 28, cpnt = 2, average =  32.00
abnormal pos: x = 4, y = 28, cpnt = 1, average =  32.00
abnormal pos: x = 5, y = 28, cpnt = 2, average =  32.67
abnormal pos: x = 6, y = 28, cpnt = 0, average =  30.14
abnormal pos: x = 6, y = 28, cpnt = 1, average =  35.43
abnormal pos: x = 6, y = 28, cpnt = 2, average =  36.57
abnormal pos: x = 7, y = 28, cpnt = 1, average =  31.38
abnormal pos: x = 7, y = 28, cpnt = 2, average =  32.75
abnormal pos: x = 8, y = 28, cpnt = 0, average =  33.78
abnormal pos: x = 8, y = 28, cpnt = 1, average =  34.11
abnormal pos: x = 8, y = 28, cpnt = 2, average =  32.00
abnormal pos: x = 9, y = 28, cpnt = 0, average =  30.50
abnormal pos: x = 9, y = 28, cpnt = 2, average =  31.30
abnormal pos: x = 11, y = 28, cpnt = 2, average =  30.50
abnormal pos: x = 27, y = 28, cpnt = 1, average =  32.80
abnormal pos: x = 28, y = 28, cpnt = 1, average =  30.30
abnormal pos: x = 51, y = 28, cpnt = 2, average =  31.40
abnormal pos: x = 137, y = 28, cpnt = 2, average =  30.40
abnormal pos: x = 139, y = 28, cpnt = 0, average =  31.10
abnormal pos: x = 139, y = 28, cpnt = 2, average =  31.60
abnormal pos: x = 140, y = 28, cpnt = 0, average =  32.70
abnormal pos: x = 140, y = 28, cpnt = 2, average =  31.40
abnormal pos: x = 141, y = 28, cpnt = 0, average =  31.90
abnormal pos: x = 141, y = 28, cpnt = 1, average =  31.20
abnormal pos: x = 141, y = 28, cpnt = 2, average =  33.60
abnormal pos: x = 142, y = 28, cpnt = 1, average =  31.10
abnormal pos: x = 142, y = 28, cpnt = 2, average =  32.30
abnormal pos: x = 143, y = 28, cpnt = 0, average =  32.20
abnormal pos: x = 143, y = 28, cpnt = 1, average =  33.30
abnormal pos: x = 143, y = 28, cpnt = 2, average =  34.20
abnormal pos: x = 144, y = 28, cpnt = 0, average =  31.20
abnormal pos: x = 144, y = 28, cpnt = 1, average =  30.80
abnormal pos: x = 144, y = 28, cpnt = 2, average =  33.40
abnormal pos: x = 216, y = 28, cpnt = 0, average =  30.10
abnormal pos: x = 216, y = 28, cpnt = 1, average =  33.50
abnormal pos: x = 217, y = 28, cpnt = 1, average =  32.50
abnormal pos: x = 219, y = 28, cpnt = 1, average =  30.60
abnormal pos: x = 221, y = 28, cpnt = 0, average =  30.80
abnormal pos: x = 221, y = 28, cpnt = 1, average =  31.50
abnormal pos: x = 221, y = 28, cpnt = 2, average =  32.50
abnormal pos: x = 222, y = 28, cpnt = 0, average =  30.70
abnormal pos: x = 222, y = 28, cpnt = 1, average =  30.60
abnormal pos: x = 222, y = 28, cpnt = 2, average =  32.20
abnormal pos: x = 223, y = 28, cpnt = 0, average =  30.30
abnormal pos: x = 223, y = 28, cpnt = 2, average =  30.30
abnormal pos: x = 224, y = 28, cpnt = 0, average =  36.40
abnormal pos: x = 224, y = 28, cpnt = 1, average =  31.80
abnormal pos: x = 224, y = 28, cpnt = 2, average =  33.20
abnormal pos: x = 225, y = 28, cpnt = 0, average =  32.20
abnormal pos: x = 225, y = 28, cpnt = 2, average =  31.40
abnormal pos: x = 226, y = 28, cpnt = 0, average =  35.60
abnormal pos: x = 226, y = 28, cpnt = 2, average =  31.70
abnormal pos: x = 227, y = 28, cpnt = 0, average =  37.50
abnormal pos: x = 228, y = 28, cpnt = 0, average =  35.40
abnormal pos: x = 229, y = 28, cpnt = 0, average =  35.60
abnormal pos: x = 281, y = 28, cpnt = 0, average =  31.70
abnormal pos: x = 281, y = 28, cpnt = 2, average =  30.80
abnormal pos: x = 312, y = 28, cpnt = 0, average =  31.90
abnormal pos: x = 312, y = 28, cpnt = 2, average =  30.70
abnormal pos: x = 313, y = 28, cpnt = 0, average =  32.70
abnormal pos: x = 313, y = 28, cpnt = 1, average =  30.20
abnormal pos: x = 313, y = 28, cpnt = 2, average =  30.90
abnormal pos: x = 314, y = 28, cpnt = 0, average =  33.90
abnormal pos: x = 315, y = 28, cpnt = 0, average =  37.80
abnormal pos: x = 315, y = 28, cpnt = 1, average =  31.60
abnormal pos: x = 315, y = 28, cpnt = 2, average =  32.00
abnormal pos: x = 316, y = 28, cpnt = 0, average =  32.90
abnormal pos: x = 317, y = 28, cpnt = 0, average =  30.80
abnormal pos: x = 359, y = 28, cpnt = 2, average =  31.20
abnormal pos: x = 360, y = 28, cpnt = 2, average =  33.40
abnormal pos: x = 361, y = 28, cpnt = 2, average =  32.90
abnormal pos: x = 362, y = 28, cpnt = 1, average =  30.60
abnormal pos: x = 362, y = 28, cpnt = 2, average =  31.10
abnormal pos: x = 367, y = 28, cpnt = 1, average =  31.30
abnormal pos: x = 368, y = 28, cpnt = 1, average =  31.30
abnormal pos: x = 425, y = 28, cpnt = 0, average =  31.40
abnormal pos: x = 425, y = 28, cpnt = 1, average =  31.20
abnormal pos: x = 426, y = 28, cpnt = 0, average =  32.80
abnormal pos: x = 426, y = 28, cpnt = 1, average =  30.90
abnormal pos: x = 427, y = 28, cpnt = 0, average =  31.70
abnormal pos: x = 427, y = 28, cpnt = 1, average =  30.20
abnormal pos: x = 480, y = 28, cpnt = 0, average =  31.00
abnormal pos: x = 535, y = 28, cpnt = 1, average =  32.20
abnormal pos: x = 535, y = 28, cpnt = 2, average =  32.70
abnormal pos: x = 536, y = 28, cpnt = 2, average =  30.20
abnormal pos: x = 537, y = 28, cpnt = 0, average =  30.70
abnormal pos: x = 537, y = 28, cpnt = 1, average =  30.60
abnormal pos: x = 537, y = 28, cpnt = 2, average =  30.50
abnormal pos: x = 538, y = 28, cpnt = 0, average =  31.10
abnormal pos: x = 538, y = 28, cpnt = 1, average =  31.30
abnormal pos: x = 538, y = 28, cpnt = 2, average =  31.50
abnormal pos: x = 539, y = 28, cpnt = 0, average =  30.70
abnormal pos: x = 539, y = 28, cpnt = 2, average =  31.30
abnormal pos: x = 18, y = 29, cpnt = 0, average =  30.20
abnormal pos: x = 22, y = 29, cpnt = 2, average =  31.80
abnormal pos: x = 24, y = 29, cpnt = 2, average =  30.70
abnormal pos: x = 94, y = 29, cpnt = 0, average =  31.10
abnormal pos: x = 116, y = 29, cpnt = 2, average =  30.90
abnormal pos: x = 117, y = 29, cpnt = 2, average =  32.80
abnormal pos: x = 119, y = 29, cpnt = 2, average =  30.70
abnormal pos: x = 217, y = 29, cpnt = 0, average =  31.50
abnormal pos: x = 217, y = 29, cpnt = 1, average =  30.80
abnormal pos: x = 219, y = 29, cpnt = 0, average =  32.10
abnormal pos: x = 220, y = 29, cpnt = 0, average =  34.90
abnormal pos: x = 220, y = 29, cpnt = 1, average =  31.90
